accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,currentBalance,cardPresent,expirationDateKeyInMatch
871701939,871701939,15000,11552.59,2016-07-23 00:20:32,420.67,Mobile eCards,US,US,9.0,1.0,online_gifts,2023-01-02,2013-07-01,2013-07-01,957,957,4310,PURCHASE,False,3447.41,False,False
318001076,318001076,50000,12918.72,2016-03-12 08:26:30,1.46,Burger King #446273,US,US,9.0,1.0,fastfood,1931-01-12,2015-11-12,2016-07-03,633,633,1789,PURCHASE,False,37081.28,True,False
803896888,803896888,15000,10991.56,2016-07-28 03:08:49,527.03,Fresh Flowers,US,US,5.0,1.0,online_gifts,1931-01-11,,,984,984,5474,PURCHASE,False,4008.44,False,False
322865480,322865480,15000,15000.0,2016-01-06 22:05:31,17.54,Arbys #599566,US,US,2.0,1.0,fastfood,2025-01-10,,,471,471,4304,PURCHASE,False,0.0,True,False
892489502,892489502,15000,15000.0,2016-12-13 22:40:51,3.93,Apple iTunes,US,US,5.0,8.0,mobileapps,1931-01-03,2012-02-10,2012-02-10,726,726,9375,PURCHASE,False,0.0,False,False
391364360,391364360,20000,18416.87,2016-01-27 19:38:52,125.42,Universe Massage #534124,US,US,5.0,1.0,personal care,2018-01-06,,,643,643,4334,PURCHASE,False,1583.13,True,False
954119660,954119660,10000,1508.86,2016-08-17 11:08:45,39.1,Next Day Online Services,US,US,9.0,1.0,online_gifts,2026-01-08,,,948,948,7436,PURCHASE,False,8491.14,False,False
717128593,717128593,10000,2836.16,2016-02-16 18:30:36,126.96,Franks Pub #680641,US,US,2.0,1.0,food,2021-01-08,2013-07-04,,673,673,1697,PURCHASE,False,7163.84,True,False
718721492,718721492,10000,2097.96,2016-02-24 21:31:02,105.91,ashleyfurniture.com,US,US,2.0,1.0,furniture,2023-01-04,,,209,209,4472,PURCHASE,False,7902.04,True,False
920221493,920221493,15000,2582.09,2016-05-05 14:59:21,473.06,Subway #570678,US,US,2.0,1.0,fastfood,2018-01-09,2015-09-09,2016-02-04,520,520,5368,PURCHASE,False,12417.91,True,False
812328116,812328116,5000,2134.23,2016-12-22 13:36:02,491.86,oldnavy.com,US,US,9.0,8.0,online_retail,2028-01-03,,,312,312,5335,PURCHASE,False,2865.77,False,False
157594600,157594600,5000,4433.43,2016-01-10 07:51:06,80.18,oldnavy.com,US,US,2.0,1.0,online_retail,2029-01-02,,,465,465,9452,PURCHASE,True,566.57,False,False
456044564,456044564,10000,5632.07,2016-05-17 04:58:10,36.02,1st Restaurant,US,US,2.0,1.0,food,2022-01-02,2012-05-10,,746,746,5658,PURCHASE,False,4367.93,True,False
450220077,450220077,2500,2147.06,2016-10-23 08:42:46,42.43,Texas Gas #553568,US,US,2.0,8.0,fuel,2020-01-12,,,498,498,5837,PURCHASE,False,352.94,True,False
932638207,932638207,15000,14489.16,2016-12-04 07:35:57,619.43,Dunkin' Donuts #222901,US,US,5.0,1.0,fastfood,2023-01-11,2015-06-11,2015-06-11,947,947,3707,PURCHASE,False,510.84,True,False
716210160,716210160,5000,934.54,2016-02-03 02:00:15,87.2,alibaba.com,US,US,90.0,1.0,online_retail,2022-01-04,,,555,555,2466,PURCHASE,False,4065.46,False,False
537052791,537052791,5000,1510.45,2016-11-04 15:46:28,276.9,ebay.com,Unknown,US,9.0,1.0,online_retail,2022-01-12,2012-01-12,,365,365,4329,PURCHASE,True,3489.55,False,False
